# ingest sink, старт 2026-08-23T13:30:49
elapsed_s,water_ml,event,v12a_raw,v12a_mv,v12b_raw,v12b_mv,v20a_raw,v20a_mv,v20b_raw,v20b_mv,air_t,air_h
149.4,0.0,,1012,869,1032,886,17,11,45,33,,
150.4,0.0,,1014,871,1033,886,42,31,101,80,,
151.4,0.0,,1012,871,1034,887,45,34,99,78,,
152.4,0.0,,1013,871,1034,886,41,30,97,76,,
153.4,0.0,,1014,871,1031,887,47,35,93,73,,
154.4,0.0,,1015,871,1033,886,40,29,39,28,,
155.4,0.0,,1012,872,1033,887,46,34,95,75,,
156.4,0.0,,1013,874,1032,887,44,33,99,79,,
157.4,0.0,,1015,873,1031,886,39,28,99,79,,
158.4,0.0,,1013,871,1032,885,14,9,37,26,,
159.4,0.0,,1013,871,1033,888,38,29,98,78,,
160.4,0.0,,1014,870,1034,887,13,8,37,26,,
161.4,0.0,,1014,871,1031,888,14,9,37,27,,
162.4,0.0,,1016,870,1034,885,9,5,51,38,,
163.4,0.0,,1013,871,1032,887,34,24,101,80,,
164.4,0.0,,1013,870,1033,886,34,24,98,78,,
165.4,0.0,,1013,872,1032,886,11,6,35,25,,
166.4,0.0,,1014,871,1032,887,36,27,100,80,,
167.4,0.0,,1014,871,1032,887,40,29,97,76,,
168.4,0.0,,1016,870,1033,888,12,7,38,27,,
169.4,0.0,,1014,873,1033,885,40,29,99,79,,
170.4,0.0,,1014,871,1035,887,35,26,99,78,,
171.4,0.0,,1015,873,1033,887,35,26,36,26,,
172.4,0.0,,1015,872,1032,885,35,26,102,81,,
173.4,0.0,,1014,872,1035,887,35,25,106,85,,
174.4,0.0,,1014,871,1033,886,36,26,108,87,,
175.4,0.0,,1015,872,1032,886,13,7,115,93,,
176.4,0.0,,1013,872,1032,887,37,27,119,96,,
177.4,0.0,,1014,871,1033,887,51,39,119,96,,
178.4,0.0,,1014,872,1033,886,40,29,122,98,,
179.4,0.0,,1013,871,1033,886,11,7,49,36,,
180.4,0.0,,1015,872,1032,888,44,32,126,102,,
181.4,0.0,,1014,873,1032,886,53,40,128,103,,
182.4,0.0,,1013,873,1034,886,55,42,124,99,,
183.4,0.0,,1013,871,1030,887,53,41,130,104,,
184.4,0.0,,1014,872,1034,886,13,8,58,44,,
185.4,0.0,,1015,870,1031,886,50,37,124,99,,
186.4,0.0,,1013,871,1033,886,14,9,58,43,,
187.4,0.0,,1015,873,1034,887,65,51,122,97,,
188.4,0.0,,1013,869,1033,888,44,34,62,45,,
189.4,0.0,,1013,871,1032,887,54,41,113,89,,
190.4,0.0,,1015,871,1033,887,54,41,108,85,,
191.4,0.0,,1013,871,1033,885,50,37,107,84,,
192.4,0.0,,1015,873,1031,887,20,12,48,34,,
193.4,0.0,,1015,873,1033,888,17,11,45,33,,
194.4,0.0,,1013,870,1033,888,44,33,100,80,,
195.4,0.0,,1014,871,1031,888,41,30,98,78,,
196.4,0.0,,1013,871,1033,889,47,35,98,77,,
197.4,0.0,,1015,870,1031,886,38,27,101,81,,
198.4,0.0,,1013,870,1032,887,37,26,97,77,,
199.4,0.0,,1014,873,1033,888,14,9,37,26,,
200.4,0.0,,1014,871,1033,886,34,25,97,78,,
201.4,0.0,,1014,871,1030,886,40,29,79,62,,
202.4,0.0,,1014,872,1032,886,11,6,35,25,,
203.4,0.0,,1014,871,1034,885,38,28,97,77,,
204.4,0.0,,1013,872,1034,886,42,31,102,83,,
205.4,0.0,,1012,873,1033,887,16,11,35,25,,
206.4,0.0,,1015,872,1033,888,32,23,101,81,,
207.4,0.0,,1014,872,1033,885,34,25,104,84,,
208.4,0.0,,1014,872,1033,886,33,24,105,84,,
209.4,0.0,,1014,872,1033,887,45,33,112,91,,
210.4,0.0,,1015,870,1033,887,43,31,113,90,,
211.4,0.0,,1014,871,1034,886,10,6,41,29,,
212.4,0.0,,1014,871,1033,886,47,34,116,94,,
213.4,0.0,,1012,872,1032,886,31,22,128,104,,
214.4,0.0,,1014,871,1033,886,40,30,115,93,,
215.4,0.0,,1015,872,1033,886,38,27,119,96,,
216.4,0.0,,1014,871,1032,886,39,29,120,96,,
217.4,0.0,,1015,872,1035,886,44,32,119,96,,
218.4,0.0,,1013,871,1030,885,40,29,54,40,,
219.4,0.0,,1012,871,1033,887,42,30,123,100,,
220.4,0.0,,1014,871,1032,887,11,7,52,38,,
221.4,0.0,,1014,872,1031,887,51,37,128,103,,
222.4,0.0,,1015,872,1033,886,13,7,57,42,,
223.4,0.0,,1014,870,1031,887,53,40,124,99,,
224.4,0.0,,1013,869,1033,885,54,41,123,98,,
225.4,0.0,,1014,872,1032,888,56,43,122,98,,
226.4,0.0,,1013,871,1033,887,55,42,126,101,,
227.4,0.0,,1014,871,1032,887,58,45,119,94,,
228.4,0.0,,1015,871,1031,886,58,44,118,94,,
229.4,0.0,,1015,872,1033,887,14,9,58,43,,
230.4,0.0,,1016,872,1033,887,54,42,117,93,,
231.4,0.0,,1014,871,1033,885,52,40,110,88,,
232.4,0.0,,1013,871,1032,885,56,42,105,84,,
233.4,0.0,,1014,870,1032,885,54,41,103,81,,
234.4,0.0,,1014,872,1033,886,46,35,103,81,,
235.4,0.0,,1013,872,1035,887,43,33,46,32,,
236.4,0.0,,1014,872,1034,886,41,31,99,79,,
237.4,0.0,,1014,871,1033,887,47,35,97,76,,
238.4,0.0,,1014,871,1033,887,14,8,40,28,,
239.4,0.0,,1013,871,1032,887,13,8,97,77,,
240.4,0.0,,1013,872,1031,886,35,25,98,78,,
241.4,0.0,,1014,871,1033,886,34,24,98,78,,
242.4,0.0,,1015,871,1032,887,33,23,95,76,,
243.4,0.0,,1013,871,1032,887,30,21,84,67,,
244.4,0.0,,1014,871,1032,888,10,6,35,25,,
245.4,0.0,,1013,870,1032,886,34,25,99,79,,
246.4,0.0,,1014,872,1033,886,36,26,98,79,,
247.4,0.0,,1014,872,1033,887,11,6,39,28,,
