id,node_id,source,code,name,context,timestamp
147,stage3-lowpower,node,8,air_sensor_nan,285,2026-08-25 14:02:38.894422
148,stage3-lowpower,node,8,air_sensor_nan,286,2026-08-25 14:07:39.386187
149,stage3-lowpower,node,8,air_sensor_nan,286,2026-08-25 14:07:42.821348
150,stage3-lowpower,node,8,air_sensor_nan,286,2026-08-25 14:07:56.734944
151,gateway,gateway,3,crc_error_burst,60,2026-08-25 14:12:39.666480
152,stage3-lowpower,node,8,air_sensor_nan,287,2026-08-25 14:12:43.258954
153,stage3-lowpower,node,8,air_sensor_nan,287,2026-08-25 14:12:46.696731
154,stage3-lowpower,node,8,air_sensor_nan,287,2026-08-25 14:12:53.652733
155,stage3-lowpower,node,8,air_sensor_nan,287,2026-08-25 14:12:57.134596
156,stage3-lowpower,node,8,air_sensor_nan,288,2026-08-25 14:17:39.392477
157,stage3-lowpower,node,8,air_sensor_nan,288,2026-08-25 14:17:42.829431
158,stage3-lowpower,node,8,air_sensor_nan,288,2026-08-25 14:17:49.790986
159,stage3-lowpower,node,8,air_sensor_nan,288,2026-08-25 14:17:53.272409
160,stage3-lowpower,node,8,air_sensor_nan,289,2026-08-25 14:22:43.456115
161,stage3-lowpower,node,8,air_sensor_nan,289,2026-08-25 14:22:46.942047
162,stage3-lowpower,node,8,air_sensor_nan,289,2026-08-25 14:22:57.318557
163,stage3-lowpower,node,8,air_sensor_nan,290,2026-08-25 14:27:35.389075
164,stage3-lowpower,node,8,air_sensor_nan,290,2026-08-25 14:27:45.820970
165,stage3-lowpower,node,8,air_sensor_nan,291,2026-08-25 14:32:35.602690
166,stage3-lowpower,node,8,air_sensor_nan,291,2026-08-25 14:32:39.034929
167,stage3-lowpower,node,8,air_sensor_nan,291,2026-08-25 14:32:46.002971
168,stage3-lowpower,node,8,air_sensor_nan,291,2026-08-25 14:32:49.439090
169,gateway,gateway,3,crc_error_burst,70,2026-08-25 14:32:56.212245
170,stage3-lowpower,node,8,air_sensor_nan,292,2026-08-25 14:37:38.102924
171,gateway,gateway,3,crc_error_burst,80,2026-08-25 14:37:44.310991
172,stage3-lowpower,node,8,air_sensor_nan,292,2026-08-25 14:37:55.481740
173,stage3-lowpower,node,8,air_sensor_nan,293,2026-08-25 14:42:35.266206
174,stage3-lowpower,node,8,air_sensor_nan,293,2026-08-25 14:42:42.202997
175,stage3-lowpower,node,8,air_sensor_nan,293,2026-08-25 14:42:56.101423
176,stage3-lowpower,node,8,air_sensor_nan,294,2026-08-25 14:47:35.378320
177,stage3-lowpower,node,8,air_sensor_nan,294,2026-08-25 14:47:45.812903
178,stage3-lowpower,node,8,air_sensor_nan,294,2026-08-25 14:47:56.235068
179,stage3-lowpower,node,8,air_sensor_nan,295,2026-08-25 14:52:42.146815
180,stage3-lowpower,node,8,air_sensor_nan,295,2026-08-25 14:52:45.637410
181,stage3-lowpower,node,8,air_sensor_nan,295,2026-08-25 14:52:52.600418
182,gateway,gateway,3,crc_error_burst,90,2026-08-25 14:57:42.056885
183,stage3-lowpower,node,8,air_sensor_nan,297,2026-08-25 15:02:42.246242
184,stage3-lowpower,node,8,air_sensor_nan,297,2026-08-25 15:02:45.729903
185,stage3-lowpower,node,8,air_sensor_nan,297,2026-08-25 15:02:56.158054
186,stage3-lowpower,node,8,air_sensor_nan,298,2026-08-25 15:07:38.477103
187,stage3-lowpower,node,8,air_sensor_nan,298,2026-08-25 15:07:41.912515
188,stage3-lowpower,node,8,air_sensor_nan,298,2026-08-25 15:07:48.857976
189,stage3-lowpower,node,8,air_sensor_nan,298,2026-08-25 15:07:52.344202
190,stage3-lowpower,node,8,air_sensor_nan,298,2026-08-25 15:07:55.825026
191,stage3-lowpower,node,8,air_sensor_nan,299,2026-08-25 15:12:38.383026
192,stage3-lowpower,node,8,air_sensor_nan,299,2026-08-25 15:12:41.818895
193,gateway,gateway,3,crc_error_burst,100,2026-08-25 15:15:54.223546
194,stage3-lowpower,node,8,air_sensor_nan,300,2026-08-25 15:17:38.565907
195,stage3-lowpower,node,8,air_sensor_nan,300,2026-08-25 15:17:42.050964
196,stage3-lowpower,node,8,air_sensor_nan,300,2026-08-25 15:17:52.437053
197,gateway,gateway,3,crc_error_burst,110,2026-08-25 15:27:34.842953
198,stage3-lowpower,node,8,air_sensor_nan,302,2026-08-25 15:27:52.215020
199,stage3-lowpower,node,8,air_sensor_nan,303,2026-08-25 15:32:52.329415
200,stage3-lowpower,node,8,air_sensor_nan,304,2026-08-25 15:37:35.018608
201,stage3-lowpower,node,8,air_sensor_nan,304,2026-08-25 15:37:38.460076
202,stage3-lowpower,node,8,air_sensor_nan,304,2026-08-25 15:37:48.874127
203,stage3-lowpower,node,8,air_sensor_nan,304,2026-08-25 15:37:52.358551
204,stage3-lowpower,node,8,air_sensor_nan,305,2026-08-25 15:42:52.457180
205,gateway,gateway,3,crc_error_burst,120,2026-08-25 15:47:35.100434
206,stage3-lowpower,node,8,air_sensor_nan,306,2026-08-25 15:47:52.466475
207,stage3-lowpower,node,8,air_sensor_nan,307,2026-08-25 15:52:38.457436
208,stage3-lowpower,node,8,air_sensor_nan,308,2026-08-25 15:57:52.604693
209,gateway,gateway,3,crc_error_burst,130,2026-08-25 16:02:55.333563
210,stage3-lowpower,node,8,air_sensor_nan,310,2026-08-25 16:07:48.718415
211,stage3-lowpower,node,8,air_sensor_nan,313,2026-08-25 16:22:34.829839
212,gateway,gateway,3,crc_error_burst,140,2026-08-25 16:22:41.738414
213,stage3-lowpower,node,8,air_sensor_nan,314,2026-08-25 16:27:34.968000
214,stage3-lowpower,node,8,air_sensor_nan,315,2026-08-25 16:32:34.874991
215,gateway,gateway,3,crc_error_burst,150,2026-08-25 16:37:45.254908
216,stage3-lowpower,node,8,air_sensor_nan,317,2026-08-25 16:42:41.664328
217,stage3-lowpower,node,8,air_sensor_nan,317,2026-08-25 16:42:45.094929
218,stage3-lowpower,node,8,air_sensor_nan,319,2026-08-25 16:52:41.686342
219,stage3-lowpower,node,8,air_sensor_nan,319,2026-08-25 16:52:55.596337
220,gateway,gateway,3,crc_error_burst,160,2026-08-25 16:57:41.446402
221,stage3-lowpower,node,8,air_sensor_nan,320,2026-08-25 16:57:55.334983
222,stage3-lowpower,node,8,air_sensor_nan,322,2026-08-25 17:07:41.322947
223,stage3-lowpower,node,8,air_sensor_nan,323,2026-08-25 17:12:37.696006
224,stage3-lowpower,node,8,air_sensor_nan,323,2026-08-25 17:12:48.128494
225,stage3-lowpower,node,8,air_sensor_nan,323,2026-08-25 17:12:51.612677
226,gateway,gateway,3,crc_error_burst,170,2026-08-25 17:17:50.682968
227,stage3-lowpower,node,8,air_sensor_nan,325,2026-08-25 17:22:47.486668
228,gateway,gateway,3,crc_error_burst,180,2026-08-25 17:32:50.189357
229,stage3-lowpower,node,8,air_sensor_nan,328,2026-08-25 17:37:41.704703
230,stage3-lowpower,node,8,air_sensor_nan,329,2026-08-25 17:42:48.314143
231,gateway,gateway,3,crc_error_burst,190,2026-08-25 17:52:40.334051
232,stage3-lowpower,node,8,air_sensor_nan,333,2026-08-25 18:02:53.868095
233,gateway,gateway,3,crc_error_burst,200,2026-08-25 18:07:40.367014
234,gateway,gateway,3,crc_error_burst,210,2026-08-25 18:17:53.265723
